Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,23.700001,23.740000,22.639999,22.740000,18.456734,67911100
2023-05-03,22.600000,22.990000,22.420000,22.660000,18.391802,51133700
2023-05-04,22.889999,23.379999,22.610001,23.020000,18.683994,57854400
2023-05-05,23.299999,24.170000,23.180000,24.000000,19.479404,83365200
2023-05-08,24.450001,24.629999,24.209999,24.510000,19.893341,59352300
2023-05-09,24.410000,24.799999,24.240000,24.590000,19.958271,33978200
2023-05-10,24.590000,24.820000,24.330000,24.530001,19.909575,41500700
2023-05-11,24.129999,25.480000,23.930000,25.430000,20.640055,136878100
2023-05-12,25.580000,26.740000,25.480000,26.250000,21.305597,117237500
2023-05-15,26.059999,26.150000,25.400000,25.660000,20.826729,81996700
2023-05-16,26.110001,27.030001,26.080000,26.299999,21.346180,117782700
2023-05-17,26.600000,26.760000,25.510000,25.660000,20.826729,107129200
2023-05-18,25.590000,25.850000,25.350000,25.809999,20.948477,63010500
2023-05-19,26.080000,26.180000,25.639999,25.770000,20.916010,69245500
2023-05-22,25.879999,26.010000,25.500000,25.620001,20.794264,38010200
2023-05-23,25.650000,26.430000,25.520000,26.250000,21.305597,58285300
2023-05-24,26.250000,26.900000,26.049999,26.650000,21.630255,54796400
2023-05-25,26.799999,26.840000,26.190001,26.450001,21.467926,49182700
2023-05-26,26.809999,26.910000,26.530001,26.799999,21.752001,39866600
2023-05-29,26.750000,26.820000,26.559999,26.690001,21.662720,17977100
2023-05-30,26.719999,26.799999,26.260000,26.389999,21.419228,45736700
2023-05-31,26.270000,26.360001,25.870001,26.120001,21.200083,49207600
2023-06-01,26.299999,27.000000,26.160000,26.959999,21.881863,63148200
2023-06-02,27.430000,27.600000,27.110001,27.180000,22.060427,39919300
2023-06-05,27.540001,27.559999,27.230000,27.469999,22.295801,39321700
2023-06-06,27.450001,28.250000,27.209999,28.049999,22.766552,75426600
2023-06-07,28.650000,29.059999,28.430000,28.870001,23.432100,82330400
2023-06-09,29.100000,30.389999,29.020000,30.280001,24.576513,80442400
2023-06-12,30.219999,30.990000,30.040001,30.809999,25.006683,119350400
2023-06-13,29.240000,29.240000,28.590000,28.860001,24.957890,79174900
2023-06-14,28.940001,30.100000,28.879999,30.100000,26.030231,98326000
2023-06-15,30.200001,30.850000,29.280001,29.389999,25.416229,120579500
2023-06-16,29.230000,29.920000,29.040001,29.639999,25.632425,94572000
2023-06-19,29.629999,30.459999,29.549999,30.420000,26.306965,34573900
2023-06-20,30.299999,30.750000,29.900000,30.570000,26.436682,55605300
2023-06-21,30.930000,32.000000,30.850000,31.850000,27.543617,89294300
2023-06-22,31.459999,31.690001,31.080000,31.450001,27.197699,43455800
2023-06-23,31.200001,31.280001,29.889999,30.160000,26.082119,76023400
2023-06-26,30.120001,31.049999,30.120001,30.840000,26.670177,53635000
2023-06-27,30.930000,31.200001,30.340000,30.600000,26.462627,48399600
2023-06-28,30.580000,31.180000,30.549999,30.889999,26.713415,36794600
2023-06-29,31.000000,31.120001,30.760000,31.030001,26.834488,32071800
2023-06-30,31.000000,31.080000,29.320000,29.530001,25.537298,104262900
2023-07-03,29.719999,30.180000,29.719999,30.080000,26.012934,31266900
2023-07-04,29.959999,30.389999,29.959999,30.150000,26.073471,18308000
